subject,trial_index,stimulus_song,target,emotion,valence,arousal,correct
wto40f559ergwfw,17,audio/12_Skank_Down.mp3,happy,happy,85,88,TRUE
wto40f559ergwfw,18,audio/5_Love's_Requiem.mp3,sad,sad,0,31,TRUE
wto40f559ergwfw,19,audio/4_Destiny.mp3,relaxed,relaxed,43,26,TRUE
wto40f559ergwfw,20,audio/2_Incomplete.mp3,angry,angry,1,99,TRUE
wto40f559ergwfw,21,audio/1_Skinny_Love.mp3,sad,sad,0,19,TRUE
wto40f559ergwfw,22,audio/23_Inside.mp3,sad,sad,25,67,TRUE
wto40f559ergwfw,23,audio/1_The_Sweetest.mp3,relaxed,relaxed,50,0,TRUE
wto40f559ergwfw,24,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,sad,31,33,TRUE
wto40f559ergwfw,25,audio/13_If_The_Creeks_Don't_Rise.mp3,happy,none of these,50,61,FALSE
wto40f559ergwfw,26,audio/9_If_The_Creeks_Don't_Rise.mp3,happy,happy,84,72,TRUE
wto40f559ergwfw,27,audio/26_Make_Light.mp3,happy,happy,68,66,TRUE
wto40f559ergwfw,28,audio/24_Restless.mp3,happy,happy,62,79,TRUE
wto40f559ergwfw,29,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,sad,40,25,TRUE
wto40f559ergwfw,30,audio/2_Inside.mp3,sad,sad,10,50,TRUE
wto40f559ergwfw,31,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,75,20,TRUE
wto40f559ergwfw,32,audio/7_Here_Today.mp3,sad,sad,14,15,TRUE
wto40f559ergwfw,33,audio/9_Pain_(Live_Version).mp3,angry,angry,9,95,TRUE
wto40f559ergwfw,34,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,happy,50,66,FALSE
wto40f559ergwfw,35,audio/13_Boser_Wolf.mp3,sad,relaxed,41,24,FALSE
wto40f559ergwfw,36,audio/15_Here_Today.mp3,sad,sad,11,8,TRUE
wto40f559ergwfw,37,audio/11_Be_Happy.mp3,happy,happy,80,84,TRUE
wto40f559ergwfw,38,audio/8_Restless.mp3,happy,happy,74,35,TRUE
wto40f559ergwfw,39,audio/12_Skinny_Love.mp3,sad,sad,39,36,TRUE
wto40f559ergwfw,40,audio/2_Boser_Wolf.mp3,sad,sad,38,33,TRUE
wto40f559ergwfw,41,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,relaxed,50,50,TRUE
wto40f559ergwfw,42,audio/2_Love's_Requiem.mp3,sad,sad,26,66,TRUE
wto40f559ergwfw,43,audio/2_Sweet_Song.mp3,relaxed,sad,17,15,FALSE
wto40f559ergwfw,44,audio/4_Come_On_Baby.mp3,relaxed,relaxed,33,0,TRUE
mr02t2o5o3n8nu8,0,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,none of these,13,35,FALSE
mr02t2o5o3n8nu8,1,audio/26_Make_Light.mp3,happy,happy,77,70,TRUE
mr02t2o5o3n8nu8,2,audio/9_Pain_(Live_Version).mp3,angry,angry,31,62,TRUE
mr02t2o5o3n8nu8,3,audio/19_I_hate_Everything_About_You.mp3,angry,angry,29,30,TRUE
mr02t2o5o3n8nu8,4,audio/13_Boser_Wolf.mp3,sad,relaxed,35,12,FALSE
mr02t2o5o3n8nu8,5,audio/9_If_The_Creeks_Don't_Rise.mp3,happy,sad,31,13,FALSE
mr02t2o5o3n8nu8,6,audio/8_Restless.mp3,happy,happy,86,83,TRUE
mr02t2o5o3n8nu8,7,audio/4_Mbube.mp3,relaxed,happy,65,80,FALSE
mr02t2o5o3n8nu8,8,audio/16_Restless.mp3,happy,happy,82,93,TRUE
mr02t2o5o3n8nu8,9,audio/3_Old_Blacktop_[Album_Version].mp3,sad,sad,34,11,TRUE
